sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1653318841;877750;1653318841;877848;1653318841;877750;0.05;
1653318842;840090;1653318842;840240;1653318842;840090;0.05;
1653318843;756713;1653318843;756755;1653318843;756713;0.05;
1653318844;813298;1653318844;813330;1653318844;813298;0.05;
1653318845;625228;1653318845;625270;1653318845;625228;0.05;
1653318846;589236;1653318846;589281;1653318846;589236;0.05;
1653318847;557921;1653318847;557961;1653318847;557921;0.05;
1653318848;452802;1653318848;452845;1653318848;452802;0.05;
1653318849;357769;1653318849;357807;1653318849;357769;0.05;
1653318850;189462;1653318850;189515;1653318850;189462;0.05;
1653318851;104686;1653318851;104724;1653318851;104686;0.05;
1653318852;123752;1653318852;123801;1653318852;123752;0.05;
1653318853;85468;1653318853;85666;1653318853;85468;0.05;
1653318853;926713;1653318853;926761;1653318853;926713;0.05;
1653318854;863437;1653318854;863479;1653318854;863437;0.05;
1653318855;759892;1653318855;759937;1653318855;759892;0.05;
1653318856;751493;1653318856;751566;1653318856;751493;0.05;
1653318857;627672;1653318857;627770;1653318857;627672;0.05;
1653318858;516387;1653318858;518415;1653318858;516387;0.05;
1653318859;557695;1653318859;557728;1653318859;557695;0.05;
1653318860;512607;1653318860;512654;1653318860;512607;0.05;
1653318861;367456;1653318861;367498;1653318861;367456;0.05;
1653318862;411277;1653318862;411325;1653318862;411277;0.05;
1653318863;380536;1653318863;380570;1653318863;380536;0.05;
1653318864;315773;1653318864;315812;1653318864;315773;0.05;
1653318865;296044;1653318865;296088;1653318865;296044;0.05;
1653318866;227699;1653318866;227737;1653318866;227699;0.05;
1653318867;62007;1653318867;62074;1653318867;62007;0.05;
1653318867;964334;1653318867;964468;1653318867;964334;0.05;
1653318868;896246;1653318868;896423;1653318868;896246;0.05;
1653318869;779341;1653318869;779382;1653318869;779341;0.05;
1653318870;625377;1653318870;625418;1653318870;625377;0.05;
1653318871;575790;1653318871;575827;1653318871;575790;0.05;
1653318872;440135;1653318872;440177;1653318872;440135;0.05;
1653318873;394259;1653318873;394299;1653318873;394259;0.05;
1653318874;311320;1653318874;311387;1653318874;311320;0.05;
1653318875;94364;1653318875;94403;1653318875;94364;0.05;
1653318876;50954;1653318876;50992;1653318876;50954;0.05;
1653318877;60188;1653318877;60226;1653318877;60188;0.05;
1653318877;922990;1653318877;923068;1653318877;922990;0.05;
1653318878;904195;1653318878;904236;1653318878;904195;0.05;
1653318879;773639;1653318879;773691;1653318879;773639;0.05;
1653318880;717766;1653318880;717803;1653318880;717766;0.05;
1653318881;654247;1653318881;654287;1653318881;654247;0.05;
1653318882;671366;1653318882;671414;1653318882;671366;0.05;
1653318883;566987;1653318883;567027;1653318883;566987;0.05;
1653318884;564068;1653318884;564105;1653318884;564068;0.05;
1653318885;455463;1653318885;455504;1653318885;455463;0.05;
1653318886;471389;1653318886;471429;1653318886;471389;0.05;
1653318887;501826;1653318887;501868;1653318887;501826;0.05;
1653318888;497216;1653318888;497257;1653318888;497216;0.05;
1653318889;540531;1653318889;540570;1653318889;540531;0.05;
1653318890;515980;1653318890;516022;1653318890;515980;0.05;
1653318891;597591;1653318891;597645;1653318891;597591;0.05;
1653318892;553169;1653318892;553216;1653318892;553169;0.05;
1653318893;560429;1653318893;560475;1653318893;560429;0.05;
1653318894;561231;1653318894;561273;1653318894;561231;0.05;
1653318895;572801;1653318895;573229;1653318895;572801;0.05;
1653318896;473440;1653318896;473519;1653318896;473440;0.05;
1653318897;424859;1653318897;424896;1653318897;424859;0.05;
1653318898;405841;1653318898;405883;1653318898;405841;0.05;
1653318899;309240;1653318899;309319;1653318899;309240;0.05;
1653318900;349230;1653318900;349271;1653318900;349230;0.05;
1653318901;284358;1653318901;284395;1653318901;284358;0.05;
1653318902;424597;1653318902;424637;1653318902;424597;0.05;
1653318903;406120;1653318903;406159;1653318903;406120;0.05;
1653318904;430962;1653318904;431162;1653318904;430962;0.05;
1653318905;479482;1653318905;479529;1653318905;479482;0.05;
1653318906;479192;1653318906;479241;1653318906;479192;0.05;
1653318907;480514;1653318907;480561;1653318907;480514;0.05;
1653318908;491964;1653318908;491997;1653318908;491964;0.05;
1653318909;491265;1653318909;491305;1653318909;491265;0.05;
1653318910;368161;1653318910;368207;1653318910;368161;0.05;
1653318911;271836;1653318911;271869;1653318911;271836;0.05;
1653318912;93425;1653318912;93464;1653318912;93425;0.05;
1653318913;35197;1653318913;35243;1653318913;35197;0.05;
1653318913;878646;1653318913;878688;1653318913;878646;0.05;
1653318914;834988;1653318914;835031;1653318914;834988;0.05;
1653318915;645488;1653318915;645534;1653318915;645488;0.05;
1653318916;580501;1653318916;580546;1653318916;580501;0.05;
1653318917;451580;1653318917;451622;1653318917;451580;0.05;
1653318918;438283;1653318918;438350;1653318918;438283;0.05;
1653318919;362193;1653318919;362242;1653318919;362193;0.05;
1653318920;169674;1653318920;169716;1653318920;169674;0.05;
1653318921;149185;1653318921;149217;1653318921;149185;0.05;
1653318922;123795;1653318922;123834;1653318922;123795;0.05;
1653318923;26859;1653318923;26912;1653318923;26859;0.05;
1653318923;871018;1653318923;871056;1653318923;871018;0.05;
1653318924;751491;1653318924;751533;1653318924;751491;0.05;
1653318925;715012;1653318925;715052;1653318925;715012;0.05;
1653318926;655389;1653318926;655458;1653318926;655389;0.05;
1653318927;632029;1653318927;632060;1653318927;632029;0.05;
1653318928;688090;1653318928;688138;1653318928;688090;0.05;
1653318929;630270;1653318929;630310;1653318929;630270;0.05;
1653318930;615730;1653318930;615770;1653318930;615730;0.05;
1653318931;689644;1653318931;690215;1653318931;689644;0.05;
1653318932;658874;1653318932;658917;1653318932;658874;0.05;
1653318933;698647;1653318933;698690;1653318933;698647;0.05;
1653318934;687549;1653318934;687594;1653318934;687549;0.05;
1653318935;720499;1653318935;720538;1653318935;720499;0.05;
1653318936;710754;1653318936;710794;1653318936;710754;0.05;
1653318937;745351;1653318937;745398;1653318937;745351;0.05;
1653318938;850812;1653318938;851019;1653318938;850812;0.05;
1653318939;838270;1653318939;838325;1653318939;838270;0.05;
1653318941;6334;1653318941;6373;1653318941;6334;0.05;
1653318941;974470;1653318941;974513;1653318941;974470;0.05;
1653318942;954064;1653318942;954275;1653318942;954064;0.05;
1653318943;871131;1653318943;871307;1653318943;871131;0.05;
1653318944;805891;1653318944;805989;1653318944;805891;0.05;
1653318945;803671;1653318945;803711;1653318945;803671;0.05;
1653318946;779514;1653318946;779739;1653318946;779514;0.05;
1653318947;788076;1653318947;788127;1653318947;788076;0.05;
1653318948;670985;1653318948;671026;1653318948;670985;0.05;
1653318949;649948;1653318949;649997;1653318949;649948;0.05;
1653318950;571530;1653318950;571572;1653318950;571530;0.05;
1653318951;553364;1653318951;553412;1653318951;553364;0.05;
1653318952;470902;1653318952;470944;1653318952;470902;0.05;
1653318953;499600;1653318953;499642;1653318953;499600;0.05;
1653318954;376474;1653318954;376914;1653318954;376474;0.05;
1653318955;366071;1653318955;366109;1653318955;366071;0.05;
1653318956;358664;1653318956;358710;1653318956;358664;0.05;
1653318957;357185;1653318957;357225;1653318957;357185;0.05;
1653318958;299108;1653318958;299160;1653318958;299108;0.05;
1653318959;227397;1653318959;227443;1653318959;227397;0.05;
1653318960;15805;1653318960;15865;1653318960;15805;0.05;
1653318961;75037;1653318961;75081;1653318961;75037;0.05;
1653318961;839552;1653318961;839596;1653318961;839552;0.05;
1653318962;807318;1653318962;807929;1653318962;807318;0.05;
1653318963;575936;1653318963;576109;1653318963;575936;0.05;
1653318964;500967;1653318964;501007;1653318964;500967;0.05;
1653318965;501979;1653318965;502492;1653318965;501979;0.05;
1653318966;589521;1653318966;589560;1653318966;589521;0.05;
1653318967;442952;1653318967;442999;1653318967;442952;0.05;
1653318968;311362;1653318968;311404;1653318968;311362;0.05;
1653318969;145755;1653318969;145794;1653318969;145755;0.05;
1653318970;80507;1653318970;80548;1653318970;80507;0.05;
1653318970;943280;1653318970;943322;1653318970;943280;0.05;
1653318971;871800;1653318971;871845;1653318971;871800;0.05;
1653318972;814673;1653318972;814709;1653318972;814673;0.05;
1653318973;644221;1653318973;644245;1653318973;644221;0.05;
1653318974;543471;1653318974;543517;1653318974;543471;0.05;
1653318975;446178;1653318975;446226;1653318975;446178;0.05;
1653318976;268513;1653318976;268553;1653318976;268513;0.05;
1653318977;200452;1653318977;200495;1653318977;200452;0.05;
1653318978;43285;1653318978;43326;1653318978;43285;0.05;
1653318978;831145;1653318978;831179;1653318978;831145;0.05;
1653318979;811356;1653318979;811405;1653318979;811356;0.05;
1653318980;665075;1653318980;665111;1653318980;665075;0.05;
1653318981;523623;1653318981;523666;1653318981;523623;0.05;
1653318982;417334;1653318982;417428;1653318982;417334;0.05;
1653318983;231434;1653318983;232346;1653318983;231434;0.05;
1653318984;156548;1653318984;156585;1653318984;156548;0.05;
1653318985;66034;1653318985;66078;1653318985;66034;0.05;
1653318985;903266;1653318985;903312;1653318985;903266;0.05;
1653318986;831477;1653318986;831518;1653318986;831477;0.05;
1653318987;693932;1653318987;693986;1653318987;693932;0.05;
1653318988;544052;1653318988;544093;1653318988;544052;0.05;
1653318989;592488;1653318989;592528;1653318989;592488;0.05;
1653318990;557605;1653318990;557641;1653318990;557605;0.05;
1653318991;501963;1653318991;501996;1653318991;501963;0.05;
1653318992;512778;1653318992;512906;1653318992;512778;0.05;
1653318993;576880;1653318993;576929;1653318993;576880;0.05;
1653318994;543603;1653318994;543665;1653318994;543603;0.05;
1653318995;565766;1653318995;565796;1653318995;565766;0.05;
1653318996;468318;1653318996;468435;1653318996;468318;0.05;
1653318997;402219;1653318997;402275;1653318997;402219;0.05;
1653318998;403838;1653318998;403878;1653318998;403838;0.05;
1653318999;205589;1653318999;205658;1653318999;205589;0.05;
1653319000;37121;1653319000;37172;1653319000;37121;0.05;
1653319000;951660;1653319000;951715;1653319000;951660;0.05;
1653319001;800470;1653319001;800516;1653319001;800470;0.05;
1653319002;732708;1653319002;732748;1653319002;732708;0.05;
1653319003;660826;1653319003;660871;1653319003;660826;0.05;
1653319004;618672;1653319004;618712;1653319004;618672;0.05;
1653319005;596191;1653319005;596234;1653319005;596191;0.05;
1653319006;560892;1653319006;560937;1653319006;560892;0.05;
1653319007;407552;1653319007;407594;1653319007;407552;0.05;
1653319008;316322;1653319008;316353;1653319008;316322;0.05;
1653319009;217674;1653319009;217721;1653319009;217674;0.05;
1653319010;224034;1653319010;224172;1653319010;224034;0.05;
1653319011;161524;1653319011;161569;1653319011;161524;0.05;
1653319012;49540;1653319012;49588;1653319012;49540;0.05;
1653319013;85589;1653319013;85623;1653319013;85589;0.05;
1653319014;140934;1653319014;140989;1653319014;140934;0.05;
1653319015;211636;1653319015;211679;1653319015;211636;0.05;
1653319016;129723;1653319016;129764;1653319016;129723;0.05;
1653319017;183974;1653319017;184011;1653319017;183974;0.05;
1653319018;224780;1653319018;224904;1653319018;224780;0.05;
1653319019;236696;1653319019;236733;1653319019;236696;0.05;
1653319020;275772;1653319020;275809;1653319020;275772;0.05;
1653319021;301355;1653319021;301558;1653319021;301355;0.05;
1653319022;278445;1653319022;278489;1653319022;278445;0.05;
1653319023;244177;1653319023;244215;1653319023;244177;0.05;
1653319024;326463;1653319024;326525;1653319024;326463;0.05;
1653319025;419632;1653319025;419679;1653319025;419632;0.05;
1653319026;472011;1653319026;472093;1653319026;472011;0.05;
