sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318752;465803;1653318752;465917;1653318752;465763;0.325;0.04281038;0;0;0;0.4292331;
1653318752;491418;1653318752;491493;1653318752;491361;0.325;0.04281976;0;0;0;0.4292154;
1653318752;516899;1653318752;516961;1653318752;516872;0.325;0.04282535;0;0;0;0.4292045;
1653318752;542295;1653318752;542553;1653318752;542271;0.325;0.04282867;0;0;0;0.4291979;
1653318752;567906;1653318752;567989;1653318752;567881;0.325;0.04283065;0;0;0;0.4291939;
1653318752;593251;1653318752;593312;1653318752;593233;0.325;0.04283182;0;0;0;0.4291915;
1653318752;620456;1653318752;620529;1653318752;620435;0.325;0.04283252;0;0;0;0.42919;
1653318752;648476;1653318752;648540;1653318752;648458;0.325;0.04283294;0;0;0;0.4291892;
1653318752;675453;1653318752;675523;1653318752;675434;0.325;0.04283319;0;0;0;0.4291887;
1653318752;701348;1653318752;701412;1653318752;701329;0.325;0.04283334;0;0;0;0.4291884;
1653318752;726682;1653318752;726756;1653318752;726641;0.325;0.04283343;0;0;0;0.4291882;
1653318752;764148;1653318752;764219;1653318752;764127;0.325;0.04283348;0;0;0;0.4291881;
1653318752;796556;1653318752;796623;1653318752;796537;0.325;0.04283351;0;0;0;0.429188;
1653318752;822267;1653318752;822388;1653318752;822198;0.325;0.04283353;0;0;0;0.429188;
1653318752;847705;1653318752;847786;1653318752;847661;0.325;0.04283354;0;0;0;0.429188;
1653318752;873952;1653318752;874018;1653318752;873931;0.325;0.04283355;0;0;0;0.4291879;
1653318752;899306;1653318752;899372;1653318752;899289;0.325;0.04283355;0;0;0;0.4291879;
1653318752;924908;1653318752;924974;1653318752;924887;0.325;0.04283355;0;0;0;0.4291879;
1653318752;951537;1653318752;951610;1653318752;951517;0.325;0.04283356;0;0;0;0.4291879;
1653318752;977183;1653318752;977261;1653318752;977161;0.325;0.04283356;0;0;0;0.4291879;
1653318753;2828;1653318753;2893;1653318753;2804;0.325;0.04283356;0;0;0;0.4291879;
1653318753;31458;1653318753;31524;1653318753;31440;0.325;0.04283356;0;0;0;0.4291879;
1653318753;60160;1653318753;60222;1653318753;60142;0.325;0.04283356;0;0;0;0.4291879;
1653318753;85523;1653318753;85670;1653318753;85485;0.325;0.04283356;0;0;0;0.4291879;
1653318753;111000;1653318753;111070;1653318753;110981;0.325;0.04283356;0;0;0;0.4291879;
1653318753;136302;1653318753;136399;1653318753;136282;0.325;0.04283356;0;0;0;0.4291879;
1653318753;161699;1653318753;161814;1653318753;161673;0.325;0.04283356;0;0;0;0.4291879;
1653318753;187117;1653318753;187190;1653318753;187098;0.325;0.04283356;0;0;0;0.4291879;
