sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;x;y;z;roll;pitch;yaw;
1653318756;358445;1653318756;358563;1653318756;358445;-0.1540265;-3.493279;0;-0;0;0.06721974;
1653318756;464488;1653318756;464552;1653318756;464488;-0.1475641;-3.492517;0;-0;0;0.07028864;
1653318756;564781;1653318756;564840;1653318756;564781;-0.141104;-3.491735;0;-0;0;0.07335753;
1653318756;665118;1653318756;665281;1653318756;665118;-0.1346464;-3.490933;0;-0;0;0.07642642;
1653318756;765538;1653318756;765605;1653318756;765538;-0.12818;-3.490249;0;-0;0;0.07802344;
1653318756;865863;1653318756;865922;1653318756;865863;-0.1217128;-3.489578;0;-0;0;0.07954451;
1653318756;966220;1653318756;966300;1653318756;966220;-0.1152465;-3.4889;0;-0;0;0.08106745;
1653318757;66610;1653318757;66682;1653318757;66610;-0.1087812;-3.488212;0;-0;0;0.08259094;
1653318757;166943;1653318757;167007;1653318757;166943;-0.102317;-3.487515;0;-0;0;0.0841145;
1653318757;267271;1653318757;267350;1653318757;267271;-0.09585382;-3.486807;0;-0;0;0.08563807;
1653318757;367700;1653318757;367831;1653318757;367700;-0.08939173;-3.48609;0;-0;0;0.08716165;
1653318757;468913;1653318757;468977;1653318757;468913;-0.08293074;-3.485363;0;-0;0;0.08868522;
1653318757;570307;1653318757;570404;1653318757;570307;-0.07647087;-3.484626;0;-0;0;0.0902088;
1653318757;670714;1653318757;670779;1653318757;670714;-0.07001213;-3.483879;0;-0;0;0.09173238;
1653318757;771056;1653318757;771141;1653318757;771056;-0.06353742;-3.483306;0;-0;0;0.09129384;
1653318757;871932;1653318757;872319;1653318757;871932;-0.05705966;-3.482766;0;-0;0;0.09075406;
1653318757;972594;1653318757;972655;1653318757;972594;-0.05058132;-3.482234;0;-0;0;0.09021677;
1653318758;73081;1653318758;73152;1653318758;73081;-0.04410265;-3.481705;0;-0;0;0.08968021;
1653318758;173468;1653318758;173548;1653318758;173468;-0.03762369;-3.481179;0;-0;0;0.08914375;
1653318758;273985;1653318758;274071;1653318758;273985;-0.03114445;-3.480658;0;-0;0;0.08860731;
1653318758;374435;1653318758;374540;1653318758;374435;-0.02466493;-3.480139;0;-0;0;0.08807087;
1653318758;477070;1653318758;477130;1653318758;477070;-0.01818514;-3.479624;0;-0;0;0.08753443;
1653318758;577359;1653318758;577422;1653318758;577359;-0.01170507;-3.479113;0;-0;0;0.08699799;
1653318758;677807;1653318758;678145;1653318758;677807;-0.005224728;-3.478605;0;-0;0;0.08646154;
1653318758;778783;1653318758;778846;1653318758;778783;0.001255887;-3.4781;0;-0;0;0.0859251;
1653318758;879100;1653318758;879164;1653318758;879100;0.007757865;-3.477855;0;-0;0;0.08277418;
1653318758;979825;1653318758;979901;1653318758;979825;0.01426235;-3.477652;0;-0;0;0.07958315;
1653318759;80369;1653318759;80444;1653318759;80369;0.02076764;-3.477473;0;-0;0;0.07639505;
1653318759;181280;1653318759;181355;1653318759;181280;0.0272735;-3.477315;0;-0;0;0.07320754;
1653318759;281617;1653318759;281742;1653318759;281617;0.03377983;-3.477177;0;-0;0;0.07002012;
1653318759;382039;1653318759;382098;1653318759;382039;0.04028656;-3.477061;0;-0;0;0.0668327;
1653318759;487669;1653318759;487750;1653318759;487669;0.04679363;-3.476965;0;-0;0;0.06364529;
1653318759;588034;1653318759;588103;1653318759;588034;0.05330098;-3.47689;0;-0;0;0.06045787;
1653318759;688861;1653318759;688920;1653318759;688861;0.05980853;-3.476835;0;-0;0;0.05727046;
1653318759;789159;1653318759;789225;1653318759;789159;0.06632454;-3.476971;0;-0;0;0.05227419;
1653318759;890404;1653318759;890476;1653318759;890404;0.07284109;-3.477168;0;-0;0;0.04718459;
1653318759;990742;1653318759;990802;1653318759;990742;0.07935667;-3.477401;0;-0;0;0.04209727;
1653318760;91025;1653318760;91088;1653318760;91025;0.085871;-3.477668;0;-0;0;0.03701064;
1653318760;191343;1653318760;191405;1653318760;191343;0.09238389;-3.477968;0;-0;0;0.0319241;
1653318760;291676;1653318760;291740;1653318760;291676;0.09889517;-3.478301;0;-0;0;0.02683757;
1653318760;391972;1653318760;392024;1653318760;391972;0.1054047;-3.478667;0;-0;0;0.02175104;
1653318760;496749;1653318760;496802;1653318760;496749;0.1119122;-3.479067;0;-0;0;0.01666451;
1653318760;597571;1653318760;597625;1653318760;597571;0.1184177;-3.479499;0;-0;0;0.01157799;
